player,position,team,age,games played,minutes per game,% of game,% of team plays,turnover per possession,attempted free throws,free throw %,2-point shots attempted,2-point field goal %,3-point shots attempted,3-point shot field goal %,true shooting %,points per game,rebounds per game,total rebound %,assists per game,assist %,steals per game,blocks per game,versatility index
Giannis Antetokounmpo,shooting guard,Mil,20,6,33.5,69.7,20.6,0.119,23,0.739,70,0.371,1,0,0.425,11.5,7,11.1,2.7,14.3,0.5,1.5,7.2
Glen Davis,power forward,Lac,29,14,10.3,21.4,15.4,0.177,9,0.778,37,0.459,1,0,0.489,2.9,1.9,9.9,0.2,3,0.36,0.36,4
Greivis Vasquez,point guard,Tor,28,4,25.3,52.7,15.2,0.117,3,1,15,0.4,14,0.357,0.495,7.5,1.8,3.9,3,18.6,0.5,0,5.4
Harrison Barnes,small forward,Gol,22,21,32.4,67.6,15.6,0.093,34,0.735,138,0.478,62,0.355,0.519,10.6,5.2,8.8,1.6,7.4,0.81,0.52,5.5
Hedo Turkoglu,small forward,Lac,35,11,5,10.3,15.1,0.105,0,0,4,0.5,13,0.154,0.294,0.9,0.6,6.8,0.4,9.9,0.36,0.09,4.8
Iman Shumpert,shooting guard,Cle,24,20,34.8,72.4,12.7,0.067,40,0.75,71,0.366,93,0.355,0.498,9.1,4.9,7.8,1.2,5.3,1.25,0.8,4.3
Isaiah Thomas,point guard,Bos,25,4,29.8,62.2,30.7,0.171,32,0.969,36,0.417,18,0.167,0.514,17.5,3,5.5,7,40.9,0.75,0,9.6
J.R. Smith,shooting guard,Cle,29,18,31.1,64.8,18.6,0.065,20,0.7,64,0.5,142,0.359,0.538,12.8,4.7,8.4,1.2,7,0.94,0.56,5.4
Jae Crowder,small forward,Bos,24,4,25.1,52.3,17.7,0.126,13,0.769,19,0.632,10,0.3,0.619,10.8,5,10.9,2,13.9,1,0.75,7.6
Jamal Crawford,shooting guard,Lac,34,14,27.1,56.5,24.7,0.079,30,0.867,112,0.438,74,0.243,0.447,12.7,2.1,4.2,1.9,11.1,0.93,0.21,5.5
James Harden,shooting guard,Hou,25,17,37.4,77.9,29.5,0.171,178,0.916,187,0.471,107,0.383,0.62,27.2,5.7,7.9,7.5,35,1.65,0.41,11.2
James Johnson,power forward,Tor,27,2,6,12.4,32.6,0,6,0,6,0.333,0,0,0.231,2,1,9.5,0.5,14.5,0,0,6.7
James Jones,small forward,Cle,34,20,15.5,32.4,12.6,0.058,14,0.929,11,0.364,64,0.344,0.536,4.4,1.5,5.1,0.5,4.6,0.4,0.15,3.8
Jared Dudley,shooting guard,Mil,29,6,18.4,38.3,15.5,0.131,7,0.571,16,0.375,14,0.571,0.605,6.7,1.8,5.3,1.3,12.9,2,0.33,5.4
Jared Sullinger,power forward,Bos,22,4,20.1,41.8,25.6,0.109,7,0.571,29,0.621,9,0.333,0.596,12.3,7,19.1,0.3,2.7,0,0.75,5.9
Jarrett Jack,point guard,Bro,31,6,25.5,53.2,23.8,0.251,13,1,39,0.59,15,0.333,0.62,12.3,4.2,8.8,4.5,31.6,1.17,0.17,9.6
Jason Terry,shooting guard,Hou,37,17,28.7,59.7,13.8,0.124,16,0.813,52,0.538,82,0.354,0.553,9.2,2.2,4,2.8,14.9,0.88,0.12,5.4
Jeff Green,small forward,Mem,28,11,27.1,56.5,20.8,0.118,26,0.846,90,0.356,18,0.222,0.41,8.9,4.7,9.6,1.7,10.2,0.45,0.45,6.1
Jeff Teague,point guard,Atl,26,16,33,68.8,26.6,0.139,60,0.867,174,0.443,65,0.323,0.507,16.8,3.2,5.2,6.7,35.3,1.5,0.44,8.6
Jerryd Bayless,point guard,Mil,26,6,20,41.7,17.4,0.086,17,0.765,28,0.357,7,0.286,0.459,6.5,2.5,6.6,3,25.5,0.33,0.33,7.3
Jimmy Butler,shooting guard,Chi,25,12,42.2,87.9,23.9,0.079,72,0.819,141,0.468,72,0.389,0.562,22.9,5.6,7.3,3.2,14.1,2.42,0.75,7
JJ Redick,shooting guard,Lac,30,14,38.6,80.4,16.3,0.128,35,0.943,73,0.479,88,0.398,0.59,14.9,2.1,2.9,1.7,6.5,0.71,0.36,3.9
Joakim Noah,center,Chi,29,12,32.9,68.6,12.1,0.191,20,0.35,76,0.408,0,0,0.407,5.8,11,18.3,3.2,15,0.83,1.17,7.2
Joe Johnson,shooting guard,Bro,33,6,41.6,86.6,20.1,0.046,24,0.792,53,0.415,41,0.293,0.473,16.5,7.7,10,4.8,19.2,1.17,0,8.2
John Henson,center,Mil,24,6,25.4,53,17.1,0.189,14,0.357,40,0.6,1,0,0.562,8.8,8,16.7,0.7,4.9,0.83,1.67,5.8
John Jenkins,shooting guard,Atl,23,4,5.3,11.1,12.8,0,0,0,2,1,4,0.5,0.833,2.5,0.8,7.5,0,0,0,0,0
John Wall,point guard,Was,24,7,38.9,81.1,25.1,0.175,39,0.846,93,0.43,17,0.176,0.48,17.4,4.7,6.6,11.9,49.8,1.43,1.43,10.2
Johnny O'Bryant,power forward,Mil,21,1,12,25,30,0,0,0,8,0.375,0,0,0.375,6,3,13.3,0,0,0,0,0
